rushing_yards,two_point_conversions,activated,fumbles_lost,receiving_touchdowns,name,extra_points_made,targets,opponent,receiving_average,rushing_touchdowns,passing_rating,game_date,season_week,home_or_away,team,passing_attempts,passing_completions,receiving_long,passing_touchdowns,receiving_yards,fumbles,passing_completion_percentage,passing_yards,player_id,week,receptions,played,rushing_attempts,position_category,passing_interceptions,year,rushing_long,rushing_average,field_goals_made,position,passing_yards_line,over_passing_yards,passing_touchdowns_line,over_passing_touchdowns,passing_interceptions_line,over_passing_interceptions,passing_attempts_line,over_passing_attempts,passing_completions_line,over_passing_completions,rushing_yards_line,over_rushing_yards,rushing_touchdowns_line,over_rushing_touchdowns,rushing_attempts_line,over_rushing_attempts,rushing_long_line,over_rushing_long,receiving_yards_line,over_receiving_yards,receiving_touchdowns_line,over_receiving_touchdowns,receptions_line,over_receptions,targets_line,over_targets,receiving_long_line,over_receiving_long,fumbles_line,over_fumbles,fumbles_lost_line,over_fumbles_lost,two_point_conversions_line,over_two_point_conversions
128.0,0.0,1,0.0,0.0,Josh Jacobs,0,7.0,PHI,15.2,0.0,0,2024-09-06T20:15:00,2024_week_1,AWAY,GB,0.0,0.0,16.8,0.0,30.5,2.3,0,0.0,20824,1,4.6,1,24.4,OFF,0.0,2024,48.8,12.1,0,RB,4.5,0,4.0,0,0.0,0,1.0,0,1.0,0,128.5,0,3.0,0,24.0,1,47.5,1,33.0,0,2.5,0,4.5,1,7.0,0,15.5,1,2.0,1,1.5,0,4.5,0
143.3,0.0,1,0.0,0.0,Aaron Jones,0,4.6,NYG,11.4,2.3,0,2024-09-08T13:00:00,2024_week_1,AWAY,MIN,0.0,0.0,13.7,0.0,22.9,0.0,0,0.0,19045,1,4.6,1,21.3,OFF,0.0,2024,29.0,10.2,0,RB,1.5,0,0.0,0,4.0,0,0.5,0,4.0,0,154.0,0,2.0,1,22.5,0,30.0,0,23.0,0,3.0,0,5.0,0,5.0,0,14.5,0,3.5,0,3.0,0,2.5,0
0.0,0.0,1,0.0,2.3,Justin Jefferson,0,13.9,NYG,22.6,0.0,0,2024-09-08T13:00:00,2024_week_1,AWAY,MIN,0.0,0.0,67.1,0.0,89.9,0.0,0,0.0,21685,1,9.3,1,0.0,OFF,0.0,2024,0.0,0,0,WR,0.5,0,0.5,0,1.5,0,1.0,0,1.5,0,2.0,0,0.5,0,0.5,0,2.0,0,95.0,0,2.5,0,8.5,1,13.0,1,69.5,0,2.0,0,0.5,0,2.0,0
0.0,0.0,1,0.0,0.0,Ja'Marr Chase,0,13.9,NE,15.7,0.0,0,2024-09-08T13:00:00,2024_week_1,HOME,CIN,0.0,0.0,42.7,0.0,94.5,0.0,0,0.0,22564,1,13.9,1,0.0,OFF,0.0,2024,0.0,0,0,WR,3.5,0,4.5,0,2.5,0,4.5,0,4.5,0,4.5,0,4.5,0,5.0,0,0.0,0,86.0,1,0.5,0,13.5,1,13.5,1,45.5,0,0.0,0,4.0,0,4.5,0
68.6,0.0,1,0.0,0.0,Isiah Pacheco,0,7.0,BAL,25.1,2.3,0,2024-09-05T20:40:00,2024_week_1,HOME,KC,0.0,0.0,35.1,0.0,50.3,0.0,0,0.0,23371,1,4.6,1,22.9,OFF,0.0,2024,11.6,7,0,RB,1.5,0,2.5,0,4.0,0,0.5,0,1.5,0,69.5,0,2.5,0,23.5,0,12.5,0,54.5,0,2.0,0,5.0,0,7.0,0,32.0,1,0.5,0,1.5,0,1.0,0
0.0,0.0,1,0.0,0.0,Jordan Love,0,0.0,PHI,0,0.0,126.4,2024-09-06T20:15:00,2024_week_1,AWAY,GB,51.8,25.9,0.0,4.6,0.0,0.0,76.2,396.2,21841,1,0.0,1,0.0,OFF,0.0,2024,0.0,0,0,QB,435.5,0,4.5,1,4.5,0,55.0,0,25.0,1,2.5,0,3.0,0,3.0,0,1.5,0,2.5,0,2.0,0,1.5,0,3.5,0,1.5,0,2.0,0,2.0,0,3.0,0
45.7,0.0,1,0.0,0.0,Geno Smith,0,0.0,DEN,0,2.3,133,2024-09-08T16:05:00,2024_week_1,HOME,SEA,38.1,27.4,0.0,2.3,0.0,0.0,109.7,260.6,14895,1,0.0,1,9.3,OFF,0.0,2024,51.8,11.4,0,QB,277.0,0,2.5,0,3.5,0,36.0,1,29.0,0,47.0,0,2.5,0,9.5,0,47.5,1,1.5,0,2.0,0,0.5,0,5.0,0,3.0,0,0.5,0,2.5,0,4.0,0
0.0,0.0,1,0.0,0.0,Matthew Stafford,0,0.0,DET,0,0.0,129.8,2024-09-08T20:20:00,2024_week_1,AWAY,LAR,74.7,51.8,0.0,2.3,0.0,0.0,105.8,483.1,9038,1,0.0,1,0.0,OFF,0.0,2024,0.0,0,0,QB,498.5,0,2.0,1,0.5,0,70.0,1,47.0,1,4.0,0,2.0,0,0.5,0,2.0,0,2.5,0,5.0,0,4.5,0,4.5,0,2.5,0,0.5,0,2.5,0,3.0,0
0.0,0.0,1,0.0,0.0,Pat Freiermuth,0,9.3,ATL,10.4,0.0,0,2024-09-08T13:00:00,2024_week_1,AWAY,PIT,0.0,0.0,15.2,0.0,41.1,0.0,0,0.0,22507,1,9.3,1,0.0,OFF,0.0,2024,0.0,0,0,TE,1.0,0,4.5,0,4.5,0,4.5,0,3.0,0,3.0,0,4.5,0,4.0,0,1.5,0,39.0,1,4.0,0,8.5,1,8.5,1,16.0,0,3.5,0,3.0,0,4.5,0
13.9,0.0,1,0.0,0.0,Justin Herbert,0,0.0,LV,0,0.0,140.9,2024-09-08T16:05:00,2024_week_1,HOME,LAC,39.6,25.9,0.0,2.3,0.0,0.0,99.7,219.5,21681,1,0.0,1,9.3,OFF,0.0,2024,12.2,3.5,0,QB,220.5,0,2.5,0,3.0,0,40.5,0,25.0,1,14.5,0,4.5,0,9.5,0,11.5,1,2.5,0,3.0,0,1.5,0,1.0,0,3.0,0,0.5,0,0.5,0,2.5,0
0.0,0.0,1,0.0,0.0,George Kittle,0,11.6,NYJ,15.2,0.0,0,2024-09-09T20:15:00,2024_week_1,HOME,SF,0.0,0.0,39.6,0.0,61.0,0.0,0,0.0,19063,1,9.3,1,0.0,OFF,0.0,2024,0.0,0,0,TE,4.5,0,2.0,0,2.5,0,0.0,0,0.5,0,0.0,0,0.5,0,2.5,0,0.5,0,58.0,1,4.5,0,10.0,0,12.5,0,35.5,1,2.5,0,3.5,0,0.5,0
22.9,0.0,1,0.0,0.0,Joe Burrow,0,0.0,NE,0,0.0,131,2024-09-08T13:00:00,2024_week_1,HOME,CIN,44.2,32.0,0.0,0.0,0.0,2.3,110.3,249.9,21693,1,0.0,1,9.3,OFF,0.0,2024,13.9,8.8,0,QB,262.0,0,2.5,0,4.0,0,48.0,0,30.5,1,21.0,1,0.5,0,10.0,0,13.5,1,4.0,0,3.0,0,0.5,0,2.5,0,0.5,0,2.5,0,3.5,0,1.0,0
7.0,0.0,1,0.0,0.0,Patrick Mahomes,0,2.3,BAL,4.6,0.0,155.3,2024-09-05T20:40:00,2024_week_1,HOME,KC,42.7,30.5,4.6,2.3,4.6,0.0,108.8,443.5,18890,1,2.3,1,4.6,OFF,0.0,2024,9.3,3.5,0,QB,450.0,0,2.5,0,2.0,0,43.0,0,33.5,0,6.5,1,0.5,0,4.5,1,10.0,0,4.0,1,3.0,0,2.5,0,2.0,1,4.5,1,1.0,0,3.5,0,0.5,0
21.3,0.0,1,0.0,0.0,Zay Flowers,0,15.2,KC,14.4,0.0,0,2024-09-05T20:40:00,2024_week_1,AWAY,BAL,0.0,0.0,29.0,0.0,56.4,0.0,0,0.0,23120,1,13.9,1,4.6,OFF,0.0,2024,12.2,10.7,0,WR,1.0,0,0.5,0,1.5,0,0.0,0,3.5,0,22.5,0,1.0,0,5.0,0,12.0,1,59.0,0,2.5,0,13.5,1,14.5,1,27.0,1,4.5,0,2.5,0,0.0,0
0.0,0.0,1,0.0,0.0,Davante Adams,0,13.9,LAC,18,0.0,0,2024-09-08T16:05:00,2024_week_1,AWAY,LV,0.0,0.0,35.1,0.0,89.9,0.0,0,0.0,16470,1,11.6,1,0.0,OFF,0.0,2024,0.0,0,0,WR,1.5,0,1.0,0,3.5,0,3.5,0,4.0,0,1.0,0,3.5,0,3.0,0,3.5,0,89.5,1,2.0,0,11.0,1,15.0,0,34.5,1,3.0,0,3.0,0,0.5,0
